file,line,type,commit,author,date,time,timezone,datetime,depth,length
src/App.tsx,1,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,48
src/App.tsx,2,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,49
src/App.tsx,3,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,61
src/App.tsx,4,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,53
src/App.tsx,5,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,56
src/App.tsx,6,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,62
src/App.tsx,7,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,57
src/App.tsx,8,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,65
src/App.tsx,9,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,58
src/App.tsx,10,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,33
src/App.tsx,11,tsx,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,53
src/App.tsx,12,tsx,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,0
src/App.tsx,13,tsx,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,15
src/App.tsx,14,tsx,80d61bce,Issac Roy,2025-04-18,14:58:33,-07:00,2025-04-18T14:58:33-07:00,0,16
src/App.tsx,15,tsx,80d61bce,Issac Roy,2025-04-18,14:58:33,-07:00,2025-04-18T14:58:33-07:00,0,26
src/App.tsx,16,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,0
src/App.tsx,17,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,92
src/App.tsx,18,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,50
src/App.tsx,19,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,49
src/App.tsx,20,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,51
